 0.00  3500. -5.0  2.0  0.1215  0.4524  0.2638 -0.1797 i, L ATLAS
 0.50  3500. -5.0  2.0 -0.0355  1.0298 -0.3460 -0.0116 i, L ATLAS
 1.00  3500. -5.0  2.0 -0.2711  2.1144 -1.7267  0.4902 i, L ATLAS
 1.50  3500. -5.0  2.0 -0.3790  2.8541 -2.8237  0.9409 i, L ATLAS
 2.00  3500. -5.0  2.0 -0.3982  3.1178 -3.2657  1.1365 i, L ATLAS
 2.50  3500. -5.0  2.0 -0.4098  3.1598 -3.3136  1.1551 i, L ATLAS
 3.00  3500. -5.0  2.0 -0.4598  3.1717 -3.2152  1.0935 i, L ATLAS
 0.00  3750. -5.0  2.0 -0.0352  0.9913 -0.3308  0.0142 i, L ATLAS
 0.50  3750. -5.0  2.0 -0.2102  1.6314 -1.0601  0.2579 i, L ATLAS
 1.00  3750. -5.0  2.0 -0.2652  2.1348 -1.8461  0.5866 i, L ATLAS
 1.50  3750. -5.0  2.0 -0.1511  2.4060 -2.5784  0.9370 i, L ATLAS
 2.00  3750. -5.0  2.0  0.1785  2.0762 -2.6836  1.0631 i, L ATLAS
 2.50  3750. -5.0  2.0  0.4431  1.6866 -2.5539  1.0787 i, L ATLAS
 3.00  3750. -5.0  2.0  0.3121  2.1930 -3.1951  1.3384 i, L ATLAS
 0.00  4000. -5.0  2.0 -0.1926  1.6702 -1.2365  0.3825 i, L ATLAS
 0.50  4000. -5.0  2.0 -0.3546  2.3719 -2.1462  0.7349 i, L ATLAS
 1.00  4000. -5.0  2.0 -0.4682  2.9847 -3.0107  1.0876 i, L ATLAS
 1.50  4000. -5.0  2.0 -0.4640  3.2904 -3.5770  1.3432 i, L ATLAS
 2.00  4000. -5.0  2.0  0.2650  1.4987 -1.8641  0.7453 i, L ATLAS
 2.50  4000. -5.0  2.0  0.9581 -0.0411 -0.5283  0.3002 i, L ATLAS
 3.00  4000. -5.0  2.0  1.4829 -1.1408  0.3450  0.0379 i, L ATLAS
 3.50  4000. -5.0  2.0  1.5558 -0.9896 -0.1060  0.2760 i, L ATLAS
 0.00  4250. -5.0  2.0 -0.2044  1.9392 -1.7236  0.6107 i, L ATLAS
 0.50  4250. -5.0  2.0 -0.2775  2.3856 -2.3792  0.8843 i, L ATLAS
