 0.00  3500. -5.0  2.0  0.0856  0.6602 -0.2130  0.1295 r, L ATLAS
 0.50  3500. -5.0  2.0  0.1143  0.5231  0.0508 -0.0264 r, L ATLAS
 1.00  3500. -5.0  2.0  0.0596  0.6674  0.0671 -0.1452 r, L ATLAS
 1.50  3500. -5.0  2.0 -0.0833  1.1797 -0.4487 -0.0184 r, L ATLAS
 2.00  3500. -5.0  2.0 -0.1854  1.5615 -0.8895  0.1313 r, L ATLAS
 2.50  3500. -5.0  2.0 -0.2121  1.6412 -0.9698  0.1571 r, L ATLAS
 3.00  3500. -5.0  2.0 -0.1932  1.5106 -0.7724  0.0755 r, L ATLAS
 0.00  3750. -5.0  2.0  0.1241  0.5115 -0.0440  0.0759 r, L ATLAS
 0.50  3750. -5.0  2.0  0.1431  0.3767  0.2465 -0.1003 r, L ATLAS
 1.00  3750. -5.0  2.0  0.0616  0.6313  0.0566 -0.0961 r, L ATLAS
 1.50  3750. -5.0  2.0 -0.1638  1.5543 -1.0138  0.2474 r, L ATLAS
 2.00  3750. -5.0  2.0 -0.3657  2.6621 -2.5282  0.8299 r, L ATLAS
 2.50  3750. -5.0  2.0 -0.4209  3.2483 -3.4787  1.2429 r, L ATLAS
 3.00  3750. -5.0  2.0 -0.5343  3.7013 -4.0536  1.4710 r, L ATLAS
 0.00  4000. -5.0  2.0  0.1340  0.3865  0.1914 -0.0435 r, L ATLAS
 0.50  4000. -5.0  2.0  0.0302  0.6659  0.0024 -0.0440 r, L ATLAS
 1.00  4000. -5.0  2.0 -0.1705  1.3277 -0.6889  0.1643 r, L ATLAS
 1.50  4000. -5.0  2.0 -0.3959  2.1831 -1.7076  0.5303 r, L ATLAS
 2.00  4000. -5.0  2.0 -0.2874  2.3320 -2.1829  0.7553 r, L ATLAS
 2.50  4000. -5.0  2.0  0.0244  2.1273 -2.4369  0.9230 r, L ATLAS
 3.00  4000. -5.0  2.0  0.4197  1.6069 -2.3342  0.9771 r, L ATLAS
 3.50  4000. -5.0  2.0  0.5517  1.6601 -2.7284  1.2020 r, L ATLAS
 0.00  4250. -5.0  2.0  0.0274  0.6537 -0.0145 -0.0081 r, L ATLAS
 0.50  4250. -5.0  2.0 -0.1609  1.2912 -0.7101  0.2191 r, L ATLAS
 1.00  4250. -5.0  2.0 -0.3966  2.1715 -1.7611  0.6033 r, L ATLAS
 1.50  4250. -5.0  2.0 -0.5802  2.9619 -2.7767  0.9973 r, L ATLAS
