 0.00  3500. -5.0  2.0 -0.1474  1.4477 -0.8155  0.1377 z, L ATLAS
 0.50  3500. -5.0  2.0 -0.2868  2.2875 -2.0306  0.6347 z, L ATLAS
 1.00  3500. -5.0  2.0 -0.1964  2.6883 -2.9575  1.0706 z, L ATLAS
 1.50  3500. -5.0  2.0  0.0391  2.4765 -3.0913  1.1955 z, L ATLAS
 2.00  3500. -5.0  2.0  0.1562  2.3092 -3.0447  1.2083 z, L ATLAS
 2.50  3500. -5.0  2.0  0.1082  2.4061 -3.1122  1.2245 z, L ATLAS
 3.00  3500. -5.0  2.0 -0.0969  2.7790 -3.3389  1.2673 z, L ATLAS
 0.00  3750. -5.0  2.0 -0.3313  2.3831 -2.1706  0.7214 z, L ATLAS
 0.50  3750. -5.0  2.0 -0.4173  2.9232 -2.9670  1.0525 z, L ATLAS
 1.00  3750. -5.0  2.0 -0.0735  2.2836 -2.5507  0.9558 z, L ATLAS
 1.50  3750. -5.0  2.0  0.4889  1.1426 -1.6887  0.7082 z, L ATLAS
 2.00  3750. -5.0  2.0  1.0837 -0.1572 -0.6015  0.3607 z, L ATLAS
 2.50  3750. -5.0  2.0  1.3918 -0.8067 -0.0928  0.2128 z, L ATLAS
 3.00  3750. -5.0  2.0  1.1915 -0.0981 -0.9611  0.5623 z, L ATLAS
 0.00  4000. -5.0  2.0 -0.1859  2.2910 -2.3724  0.8798 z, L ATLAS
 0.50  4000. -5.0  2.0 -0.1924  2.5641 -2.8668  1.1019 z, L ATLAS
 1.00  4000. -5.0  2.0 -0.1447  2.6667 -3.1669  1.2502 z, L ATLAS
 1.50  4000. -5.0  2.0  0.0001  2.4564 -3.1047  1.2596 z, L ATLAS
 2.00  4000. -5.0  2.0  0.8431  0.0447 -0.5102  0.2802 z, L ATLAS
 2.50  4000. -5.0  2.0  1.4988 -1.6025  1.0819 -0.2897 z, L ATLAS
 3.00  4000. -5.0  2.0  1.9361 -2.5659  1.8845 -0.5409 z, L ATLAS
 3.50  4000. -5.0  2.0  2.0139 -2.4715  1.5256 -0.3431 z, L ATLAS
 0.00  4250. -5.0  2.0  0.0660  1.6963 -1.8687  0.7329 z, L ATLAS
 0.50  4250. -5.0  2.0  0.0780  1.8316 -2.1587  0.8695 z, L ATLAS
 1.00  4250. -5.0  2.0  0.0526  2.0631 -2.5440  1.0383 z, L ATLAS
 1.50  4250. -5.0  2.0  0.0527  2.1767 -2.7662  1.1387 z, L ATLAS
 2.00  4250. -5.0  2.0  0.2428  1.6118 -2.1303  0.8829 z, L ATLAS
 2.50  4250. -5.0  2.0  0.4882  1.1774 -1.8943  0.8508 z, L ATLAS
 3.00  4250. -5.0  2.0  1.1640 -0.8966  0.4499 -0.0726 z, L ATLAS
 3.50  4250. -5.0  2.0  1.6653 -2.1869  1.7163 -0.5302 z, L ATLAS
 4.00  4250. -5.0  2.0  2.1861 -3.5167  3.0089 -0.9838 z, L ATLAS
 0.00  4500. -5.0  2.0  0.2404  1.1839 -1.3394  0.5426 z, L ATLAS
 0.50  4500. -5.0  2.0  0.2301  1.3080 -1.5675  0.6474 z, L ATLAS
 1.00  4500. -5.0  2.0  0.1467  1.6396 -2.0141  0.8296 z, L ATLAS
 1.50  4500. -5.0  2.0  0.0780  1.9251 -2.4019  0.9867 z, L ATLAS
 2.00  4500. -5.0  2.0  0.0352  2.0966 -2.6291  1.0744 z, L ATLAS
 2.50  4500. -5.0  2.0  0.1052  1.9689 -2.5500  1.0536 z, L ATLAS
 3.00  4500. -5.0  2.0  0.3299  1.4521 -2.0980  0.9075 z, L ATLAS
 3.50  4500. -5.0  2.0  0.8395  0.2093 -0.9185  0.4951 z, L ATLAS
 4.00  4500. -5.0  2.0  1.4771 -1.4519  0.7506 -0.1133 z, L ATLAS
 0.00  4750. -5.0  2.0  0.3088  0.9267 -1.0506  0.4321 z, L ATLAS
 0.50  4750. -5.0  2.0  0.2563  1.1266 -1.3296  0.5499 z, L ATLAS
 1.00  4750. -5.0  2.0  0.1763  1.3866 -1.6512  0.6759 z, L ATLAS
 1.50  4750. -5.0  2.0  0.0591  1.7816 -2.1335  0.8630 z, L ATLAS
 2.00  4750. -5.0  2.0 -0.0388  2.1234 -2.5532  1.0242 z, L ATLAS
 2.50  4750. -5.0  2.0 -0.0539  2.2021 -2.6611  1.0624 z, L ATLAS
 3.00  4750. -5.0  2.0  0.0133  2.0836 -2.5944  1.0501 z, L ATLAS
 3.50  4750. -5.0  2.0  0.2344  1.4436 -1.8844  0.7721 z, L ATLAS
 4.00  4750. -5.0  2.0  0.5614  0.8554 -1.5307  0.7059 z, L ATLAS
 4.50  4750. -5.0  2.0  1.1612 -0.6692 -0.0266  0.1663 z, L ATLAS
 0.00  5000. -5.0  2.0  0.3191  0.8436 -0.9561  0.3964 z, L ATLAS
 0.50  5000. -5.0  2.0  0.2468  1.0429 -1.1880  0.4850 z, L ATLAS
 1.00  5000. -5.0  2.0  0.1571  1.3228 -1.5246  0.6158 z, L ATLAS
 1.50  5000. -5.0  2.0  0.0437  1.6796 -1.9445  0.7757 z, L ATLAS
 2.00  5000. -5.0  2.0 -0.0643  2.0308 -2.3561  0.9297 z, L ATLAS
 2.50  5000. -5.0  2.0 -0.1331  2.2473 -2.5975  1.0132 z, L ATLAS
 3.00  5000. -5.0  2.0 -0.1407  2.3162 -2.7057  1.0570 z, L ATLAS
 3.50  5000. -5.0  2.0 -0.0680  2.1232 -2.5030  0.9790 z, L ATLAS
 4.00  5000. -5.0  2.0  0.1294  1.5962 -1.9537  0.7719 z, L ATLAS
 4.50  5000. -5.0  2.0  0.4405  0.9439 -1.4312  0.6168 z, L ATLAS
 5.00  5000. -5.0  2.0  0.7725 -0.0037 -0.4144  0.2256 z, L ATLAS
 0.00  5250. -5.0  2.0  0.3126  0.8277 -0.9360  0.3868 z, L ATLAS
 0.50  5250. -5.0  2.0  0.2368  1.0056 -1.1211  0.4526 z, L ATLAS
 1.00  5250. -5.0  2.0  0.1341  1.3008 -1.4582  0.5801 z, L ATLAS
 1.50  5250. -5.0  2.0  0.0298  1.6142 -1.8153  0.7127 z, L ATLAS
 2.00  5250. -5.0  2.0 -0.0862  1.9632 -2.2055  0.8552 z, L ATLAS
 2.50  5250. -5.0  2.0 -0.1592  2.1820 -2.4435  0.9373 z, L ATLAS
 3.00  5250. -5.0  2.0 -0.1880  2.2790 -2.5501  0.9707 z, L ATLAS
 3.50  5250. -5.0  2.0 -0.1652  2.2792 -2.5997  0.9984 z, L ATLAS
 4.00  5250. -5.0  2.0 -0.0969  2.1023 -2.4188  0.9314 z, L ATLAS
 4.50  5250. -5.0  2.0  0.0832  1.7355 -2.1371  0.8512 z, L ATLAS
 5.00  5250. -5.0  2.0  0.3372  1.2863 -1.8740  0.8044 z, L ATLAS
 0.00  5500. -5.0  2.0  0.2795  0.9099 -1.0213  0.4126 z, L ATLAS
 0.50  5500. -5.0  2.0  0.2051  1.0918 -1.2263  0.4921 z, L ATLAS
 1.00  5500. -5.0  2.0  0.1063  1.3452 -1.4968  0.5905 z, L ATLAS
 1.50  5500. -5.0  2.0  0.0093  1.6130 -1.7880  0.6955 z, L ATLAS
 2.00  5500. -5.0  2.0 -0.0874  1.8740 -2.0553  0.7851 z, L ATLAS
 2.50  5500. -5.0  2.0 -0.1615  2.0845 -2.2743  0.8577 z, L ATLAS
 3.00  5500. -5.0  2.0 -0.1999  2.1958 -2.3877  0.8921 z, L ATLAS
 3.50  5500. -5.0  2.0 -0.2129  2.2469 -2.4470  0.9108 z, L ATLAS
 4.00  5500. -5.0  2.0 -0.1837  2.2414 -2.5062  0.9483 z, L ATLAS
 4.50  5500. -5.0  2.0 -0.0829  2.0882 -2.4521  0.9564 z, L ATLAS
 5.00  5500. -5.0  2.0  0.0536  1.8516 -2.3161  0.9326 z, L ATLAS
 0.00  5750. -5.0  2.0  0.4748 -0.1404  0.4721 -0.2073 z, L ATLAS
 0.50  5750. -5.0  2.0  0.1480  1.1758 -1.2375  0.4652 z, L ATLAS
 1.00  5750. -5.0  2.0  0.0853  1.4113 -1.5792  0.6192 z, L ATLAS
 1.50  5750. -5.0  2.0 -0.0099  1.6449 -1.8147  0.7003 z, L ATLAS
 2.00  5750. -5.0  2.0 -0.0947  1.8564 -2.0208  0.7665 z, L ATLAS
 2.50  5750. -5.0  2.0 -0.1570  2.0068 -2.1558  0.8038 z, L ATLAS
 3.00  5750. -5.0  2.0 -0.1972  2.1013 -2.2344  0.8216 z, L ATLAS
 3.50  5750. -5.0  2.0 -0.2165  2.1550 -2.2841  0.8331 z, L ATLAS
 4.00  5750. -5.0  2.0 -0.2182  2.1920 -2.3483  0.8612 z, L ATLAS
 4.50  5750. -5.0  2.0 -0.1930  2.2222 -2.4667  0.9269 z, L ATLAS
 5.00  5750. -5.0  2.0 -0.1207  2.1552 -2.5086  0.9709 z, L ATLAS
 0.00  6000. -5.0  2.0  0.5113 -0.2483  0.6312 -0.2877 z, L ATLAS
