 3.50  2000.  0.0  2.0 -0.1658  0.7376 -1.0954  1.5062 g, L PHOENIX
 4.00  2000.  0.0  2.0 -0.1391  0.6690 -0.7868  1.2426 g, L PHOENIX
 4.50  2000.  0.0  2.0 -0.1274  0.6571 -0.5969  1.0543 g, L PHOENIX
 5.00  2000.  0.0  2.0 -0.0895  0.5428 -0.2453  0.7823 g, L PHOENIX
 3.50  2200.  0.0  2.0 -0.0219  0.1044  0.1185  0.7937 g, L PHOENIX
 4.00  2200.  0.0  2.0  0.0024  0.0782  0.3325  0.5845 g, L PHOENIX
 4.50  2200.  0.0  2.0 -0.0176  0.2475  0.1269  0.6400 g, L PHOENIX
 5.00  2200.  0.0  2.0 -0.0314  0.3603  0.1210  0.5460 g, L PHOENIX
 3.50  2400.  0.0  2.0  0.0136 -0.0809  1.0442  0.0207 g, L PHOENIX
 4.00  2400.  0.0  2.0  0.0337 -0.0498  1.0882 -0.0724 g, L PHOENIX
 4.50  2400.  0.0  2.0  0.0661 -0.0561  1.0020 -0.0094 g, L PHOENIX
 5.00  2400.  0.0  2.0  0.0628  0.1050  0.7431  0.0920 g, L PHOENIX
 3.50  2600.  0.0  2.0 -0.1053  0.8870  0.2935 -0.0850 g, L PHOENIX
 4.00  2600.  0.0  2.0 -0.0383  0.5668  0.6648 -0.1991 g, L PHOENIX
 4.50  2600.  0.0  2.0  0.0335  0.3941  0.8192 -0.2481 g, L PHOENIX
 5.00  2600.  0.0  2.0  0.1131  0.1668  0.9825 -0.2586 g, L PHOENIX
 3.50  2800.  0.0  2.0  0.1231  1.1717 -0.4257  0.1327 g, L PHOENIX
 4.00  2800.  0.0  2.0  0.0716  0.9883 -0.0242 -0.0393 g, L PHOENIX
 4.50  2800.  0.0  2.0  0.0569  1.0153 -0.0115 -0.0666 g, L PHOENIX
 5.00  2800.  0.0  2.0  0.1066  0.6921  0.4254 -0.2296 g, L PHOENIX
 3.50  3000.  0.0  2.0  0.3813  0.8060 -0.3245  0.1434 g, L PHOENIX
 4.00  3000.  0.0  2.0  0.4056  0.9054 -0.4329  0.1253 g, L PHOENIX
 4.50  3000.  0.0  2.0  0.3345  1.0951 -0.5816  0.1488 g, L PHOENIX
 5.00  3000.  0.0  2.0  0.2083  1.1341 -0.4029  0.0467 g, L PHOENIX
 3.50  3200.  0.0  2.0  0.4254  0.5942 -0.2715  0.2509 g, L PHOENIX
 4.00  3200.  0.0  2.0  0.5232  0.5972 -0.1817  0.0565 g, L PHOENIX
 4.50  3200.  0.0  2.0  0.5368  0.7808 -0.4463  0.1188 g, L PHOENIX
 5.00  3200.  0.0  2.0  0.4830  0.9935 -0.6856  0.1914 g, L PHOENIX
 3.50  3400.  0.0  2.0  0.2846  0.7941 -0.8716  0.7726 g, L PHOENIX
 4.00  3400.  0.0  2.0  0.4697  0.3960  0.1219 -0.0122 g, L PHOENIX
 4.50  3400.  0.0  2.0  0.5171  0.7330 -0.3769  0.0931 g, L PHOENIX
 5.00  3400.  0.0  2.0  0.5825  0.8440 -0.6630  0.2002 g, L PHOENIX
 3.50  3600.  0.0  2.0  0.2667  0.3699 -0.4901  0.8198 g, L PHOENIX
 4.00  3600.  0.0  2.0  0.3782  0.2287  0.2204  0.1213 g, L PHOENIX
 4.50  3600.  0.0  2.0  0.3905  0.7096 -0.1968  0.0238 g, L PHOENIX
 5.00  3600.  0.0  2.0  0.4825  0.9732 -0.7604  0.2275 g, L PHOENIX
 3.50  3800.  0.0  2.0  0.3889 -0.4214  0.5713  0.4335 g, L PHOENIX
 4.00  3800.  0.0  2.0  0.4232 -0.1509  0.4573  0.2122 g, L PHOENIX
 4.50  3800.  0.0  2.0  0.4703  0.1353  0.4326 -0.1223 g, L PHOENIX
 5.00  3800.  0.0  2.0  0.5078  0.6613 -0.3537  0.0798 g, L PHOENIX
 3.50  4000.  0.0  2.0  0.6278 -0.7340  1.2659 -0.2509 g, L PHOENIX
 4.00  4000.  0.0  2.0  0.5643 -0.4803  0.9220 -0.0700 g, L PHOENIX
 4.50  4000.  0.0  2.0  0.6218 -0.5075  0.9445 -0.1399 g, L PHOENIX
 5.00  4000.  0.0  2.0  0.6304  0.0064  0.3995 -0.1480 g, L PHOENIX
 3.50  4200.  0.0  2.0  0.6667 -0.8326  1.3651 -0.3129 g, L PHOENIX
