 3.50  2000.  0.0  2.0  0.1014  0.5368  0.2884  0.0739 i, L PHOENIX
 4.00  2000.  0.0  2.0  0.1296  0.5923  0.2037  0.0755 i, L PHOENIX
 4.50  2000.  0.0  2.0  0.1513  0.6001  0.1586  0.0917 i, L PHOENIX
 5.00  2000.  0.0  2.0  0.1800  0.5666  0.1531  0.1027 i, L PHOENIX
 3.50  2200.  0.0  2.0  0.0778  0.5902  0.2257  0.1050 i, L PHOENIX
 4.00  2200.  0.0  2.0  0.1071  0.6766  0.0903  0.1253 i, L PHOENIX
 4.50  2200.  0.0  2.0  0.1255  0.7002  0.0031  0.1705 i, L PHOENIX
 5.00  2200.  0.0  2.0  0.1601  0.6500  0.0078  0.1822 i, L PHOENIX
 3.50  2400.  0.0  2.0  0.1167  0.5850  0.2658  0.0340 i, L PHOENIX
 4.00  2400.  0.0  2.0  0.1722  0.5993  0.1837  0.0483 i, L PHOENIX
 4.50  2400.  0.0  2.0  0.1982  0.5824  0.1268  0.0962 i, L PHOENIX
 5.00  2400.  0.0  2.0  0.2316  0.5360  0.1039  0.1318 i, L PHOENIX
 3.50  2600.  0.0  2.0  0.2717  0.6279  0.2563 -0.1524 i, L PHOENIX
 4.00  2600.  0.0  2.0  0.3365  0.4039  0.4635 -0.1960 i, L PHOENIX
 4.50  2600.  0.0  2.0  0.3935  0.2952  0.5336 -0.2131 i, L PHOENIX
 5.00  2600.  0.0  2.0  0.4332  0.1220  0.7005 -0.2461 i, L PHOENIX
 3.50  2800.  0.0  2.0  0.5834  0.6347 -0.2800  0.0578 i, L PHOENIX
 4.00  2800.  0.0  2.0  0.5434  0.4279  0.1626 -0.1403 i, L PHOENIX
 4.50  2800.  0.0  2.0  0.5224  0.4582  0.1642 -0.1529 i, L PHOENIX
 5.00  2800.  0.0  2.0  0.5296  0.3067  0.3899 -0.2364 i, L PHOENIX
 3.50  3000.  0.0  2.0  0.8901  0.0324  0.0899 -0.0303 i, L PHOENIX
 4.00  3000.  0.0  2.0  0.8879  0.1455 -0.0653  0.0050 i, L PHOENIX
 4.50  3000.  0.0  2.0  0.8042  0.3562 -0.2514  0.0575 i, L PHOENIX
