 3.50  2000.  0.0  2.0 -0.0191  0.4073  0.0291  0.5791 r, L PHOENIX
 4.00  2000.  0.0  2.0 -0.0058  0.4096  0.1976  0.3959 r, L PHOENIX
 4.50  2000.  0.0  2.0  0.0106  0.3873  0.3348  0.2656 r, L PHOENIX
 5.00  2000.  0.0  2.0  0.0250  0.3890  0.4308  0.1541 r, L PHOENIX
 3.50  2200.  0.0  2.0  0.0447  0.1129  0.5168  0.3274 r, L PHOENIX
 4.00  2200.  0.0  2.0  0.0322  0.2489  0.5161  0.2034 r, L PHOENIX
 4.50  2200.  0.0  2.0  0.0139  0.3957  0.3815  0.2079 r, L PHOENIX
 5.00  2200.  0.0  2.0  0.0212  0.4521  0.3933  0.1321 r, L PHOENIX
 3.50  2400.  0.0  2.0  0.0787  0.0264  0.9921 -0.0931 r, L PHOENIX
 4.00  2400.  0.0  2.0  0.0763  0.2132  0.8011 -0.0869 r, L PHOENIX
 4.50  2400.  0.0  2.0  0.0750  0.3334  0.6051 -0.0101 r, L PHOENIX
 5.00  2400.  0.0  2.0  0.0710  0.4911  0.3871  0.0529 r, L PHOENIX
 3.50  2600.  0.0  2.0  0.0934  0.5822  0.5451 -0.2195 r, L PHOENIX
 4.00  2600.  0.0  2.0  0.1492  0.4338  0.6167 -0.1941 r, L PHOENIX
 4.50  2600.  0.0  2.0  0.1911  0.4217  0.5513 -0.1564 r, L PHOENIX
 5.00  2600.  0.0  2.0  0.2333  0.3426  0.5591 -0.1255 r, L PHOENIX
 3.50  2800.  0.0  2.0  0.3256  0.9181 -0.2978  0.0520 r, L PHOENIX
 4.00  2800.  0.0  2.0  0.4092  0.3623  0.4287 -0.1967 r, L PHOENIX
 4.50  2800.  0.0  2.0  0.4031  0.3028  0.5502 -0.2526 r, L PHOENIX
 5.00  2800.  0.0  2.0  0.4660  0.0177  0.8736 -0.3510 r, L PHOENIX
 3.50  3000.  0.0  2.0  0.6040  0.5602 -0.2675  0.0919 r, L PHOENIX
 4.00  3000.  0.0  2.0  0.5873  0.5499 -0.1859  0.0297 r, L PHOENIX
 4.50  3000.  0.0  2.0  0.5381  0.5372 -0.0504 -0.0484 r, L PHOENIX
 5.00  3000.  0.0  2.0  0.5288  0.2451  0.4560 -0.2531 r, L PHOENIX
 3.50  3200.  0.0  2.0  0.6494  0.3795 -0.2111  0.1481 r, L PHOENIX
 4.00  3200.  0.0  2.0  0.6613  0.3198 -0.0363  0.0101 r, L PHOENIX
 4.50  3200.  0.0  2.0  0.6341  0.4221 -0.1036 -0.0033 r, L PHOENIX
 5.00  3200.  0.0  2.0  0.5802  0.5278 -0.1525 -0.0120 r, L PHOENIX
 3.50  3400.  0.0  2.0  0.5251  0.5119 -0.6201  0.5107 r, L PHOENIX
 4.00  3400.  0.0  2.0  0.5705  0.1447  0.1912  0.0073 r, L PHOENIX
 4.50  3400.  0.0  2.0  0.5379  0.4035 -0.0071 -0.0288 r, L PHOENIX
 5.00  3400.  0.0  2.0  0.5299  0.6405 -0.3276  0.0619 r, L PHOENIX
 3.50  3600.  0.0  2.0  0.4584  0.2945 -0.7968  0.9368 r, L PHOENIX
 4.00  3600.  0.0  2.0  0.5972 -0.4327  0.6979  0.0235 r, L PHOENIX
 4.50  3600.  0.0  2.0  0.4961 -0.0867  0.7770 -0.3203 r, L PHOENIX
 5.00  3600.  0.0  2.0  0.3706  0.7274 -0.2496  0.0043 r, L PHOENIX
 3.50  3800.  0.0  2.0  0.6366 -0.6071  0.0177  0.8732 r, L PHOENIX
 4.00  3800.  0.0  2.0  0.7742 -1.2339  1.4414 -0.0716 r, L PHOENIX
 4.50  3800.  0.0  2.0  0.6550 -0.8846  1.7293 -0.6187 r, L PHOENIX
 5.00  3800.  0.0  2.0  0.4165  0.3578  0.3004 -0.2317 r, L PHOENIX
 3.50  4000.  0.0  2.0  0.5069 -0.5669  1.4761 -0.5348 r, L PHOENIX
 4.00  4000.  0.0  2.0  0.7463 -1.4321  2.3126 -0.7021 r, L PHOENIX
 4.50  4000.  0.0  2.0  0.7361 -1.2418  2.0720 -0.6645 r, L PHOENIX
 5.00  4000.  0.0  2.0  0.5129  0.0097  0.6716 -0.3405 r, L PHOENIX
 3.50  4200.  0.0  2.0  0.5730 -0.5060  1.2128 -0.4319 r, L PHOENIX
 4.00  4200.  0.0  2.0  0.5034 -0.5085  1.4310 -0.5066 r, L PHOENIX
 4.50  4200.  0.0  2.0  0.4960 -0.8315  1.9105 -0.6604 r, L PHOENIX
 5.00  4200.  0.0  2.0  0.4955 -0.1111  0.8061 -0.3131 r, L PHOENIX
 3.50  4400.  0.0  2.0  0.5548 -0.4306  1.1387 -0.4328 r, L PHOENIX
 4.00  4400.  0.0  2.0  0.5483 -0.2064  0.8959 -0.3127 r, L PHOENIX
 4.50  4400.  0.0  2.0  0.6183 -0.4979  1.1876 -0.4116 r, L PHOENIX
 5.00  4400.  0.0  2.0  0.5466 -0.4483  1.2548 -0.4554 r, L PHOENIX
 3.50  4600.  0.0  2.0  0.5497 -0.3501  0.9999 -0.3894 r, L PHOENIX
 4.00  4600.  0.0  2.0  0.6492 -0.3274  0.9206 -0.3253 r, L PHOENIX
 4.50  4600.  0.0  2.0  0.7204 -0.6778  1.3038 -0.4651 r, L PHOENIX
 5.00  4600.  0.0  2.0  0.6720 -0.5651  1.1952 -0.4235 r, L PHOENIX
 3.50  4800.  0.0  2.0  0.5432 -0.2659  0.8456 -0.3270 r, L PHOENIX
 4.00  4800.  0.0  2.0  0.6606 -0.2537  0.7879 -0.2875 r, L PHOENIX
 4.50  4800.  0.0  2.0  0.7133 -0.5968  1.1869 -0.4383 r, L PHOENIX
 5.00  4800.  0.0  2.0  0.7283 -0.6808  1.2731 -0.4630 r, L PHOENIX
 3.50  5000.  0.0  2.0  0.6781 -0.5154  1.0164 -0.3692 r, L PHOENIX
 4.00  5000.  0.0  2.0  0.7985 -0.6301  1.0885 -0.3888 r, L PHOENIX
 4.50  5000.  0.0  2.0  0.7451 -0.6631  1.2096 -0.4506 r, L PHOENIX
 5.00  5000.  0.0  2.0  0.7285 -0.6548  1.2206 -0.4561 r, L PHOENIX
 3.50  5200.  0.0  2.0  0.6872 -0.5327  1.0162 -0.3762 r, L PHOENIX
 4.00  5200.  0.0  2.0  0.8197 -0.6704  1.0971 -0.3936 r, L PHOENIX
 4.50  5200.  0.0  2.0  0.7459 -0.6336  1.1442 -0.4301 r, L PHOENIX
 5.00  5200.  0.0  2.0  0.7237 -0.6087  1.1434 -0.4347 r, L PHOENIX
 3.50  5400.  0.0  2.0  0.6849 -0.5095  0.9587 -0.3545 r, L PHOENIX
 4.00  5400.  0.0  2.0  0.8334 -0.6875  1.0793 -0.3869 r, L PHOENIX
 4.50  5400.  0.0  2.0  0.7456 -0.5960  1.0630 -0.3999 r, L PHOENIX
 5.00  5400.  0.0  2.0  0.7226 -0.5705  1.0691 -0.4111 r, L PHOENIX
 3.50  5600.  0.0  2.0  0.6893 -0.5220  0.9585 -0.3590 r, L PHOENIX
 4.00  5600.  0.0  2.0  0.8451 -0.7213  1.1022 -0.4010 r, L PHOENIX
 4.50  5600.  0.0  2.0  0.7504 -0.5903  1.0318 -0.3920 r, L PHOENIX
 5.00  5600.  0.0  2.0  0.7544 -0.6738  1.2200 -0.5017 r, L PHOENIX
 3.50  5800.  0.0  2.0  0.6998 -0.5610  0.9962 -0.3800 r, L PHOENIX
 4.00  5800.  0.0  2.0  0.8570 -0.7643  1.1422 -0.4225 r, L PHOENIX
 4.50  5800.  0.0  2.0  0.7586 -0.6052  1.0301 -0.3957 r, L PHOENIX
 5.00  5800.  0.0  2.0  0.7629 -0.6841  1.2150 -0.5073 r, L PHOENIX
 3.50  7000.  0.0  2.0  0.7756 -0.9012  1.4528 -0.6260 r, L PHOENIX
 4.00  7000.  0.0  2.0  0.9714 -1.2416  1.7615 -0.7317 r, L PHOENIX
 4.50  7000.  0.0  2.0  0.8545 -0.9937  1.5431 -0.6733 r, L PHOENIX
 5.00  7000.  0.0  2.0  0.8321 -0.9421  1.4925 -0.6586 r, L PHOENIX
 3.50  7200.  0.0  2.0  0.7617 -0.8653  1.4270 -0.6303 r, L PHOENIX
 4.00  7200.  0.0  2.0  0.9354 -1.1342  1.6793 -0.7334 r, L PHOENIX
 4.50  7200.  0.0  2.0  0.8443 -0.9741  1.5333 -0.6819 r, L PHOENIX
 5.00  7200.  0.0  2.0  0.8236 -0.9298  1.4873 -0.6666 r, L PHOENIX
 3.50  7400.  0.0  2.0  0.7318 -0.8181  1.4175 -0.6485 r, L PHOENIX
 4.00  7400.  0.0  2.0  0.9104 -1.1088  1.6987 -0.7640 r, L PHOENIX
 4.50  7400.  0.0  2.0  0.8269 -0.9271  1.4895 -0.6768 r, L PHOENIX
 5.00  7400.  0.0  2.0  0.8094 -0.8974  1.4592 -0.6661 r, L PHOENIX
 3.50  7600.  0.0  2.0  0.7119 -0.7380  1.3095 -0.6105 r, L PHOENIX
 4.00  7600.  0.0  2.0  0.8922 -1.0447  1.6187 -0.7401 r, L PHOENIX
 4.50  7600.  0.0  2.0  0.8035 -0.8539  1.4096 -0.6560 r, L PHOENIX
 5.00  7600.  0.0  2.0  0.7890 -0.8414  1.4017 -0.6537 r, L PHOENIX
 3.50  7800.  0.0  2.0  0.6863 -0.6103  1.1173 -0.5289 r, L PHOENIX
 4.00  7800.  0.0  2.0  0.8673 -0.9429  1.4803 -0.6883 r, L PHOENIX
 4.50  7800.  0.0  2.0  0.7626 -0.7642  1.3421 -0.6484 r, L PHOENIX
 5.00  7800.  0.0  2.0  0.7639 -0.7633  1.3131 -0.6277 r, L PHOENIX
 3.50  8000.  0.0  2.0  0.6590 -0.4424  0.8403 -0.4009 r, L PHOENIX
 4.00  8000.  0.0  2.0  0.8451 -0.8380  1.3225 -0.6220 r, L PHOENIX
 4.50  8000.  0.0  2.0  0.7448 -0.6897  1.2331 -0.6064 r, L PHOENIX
 5.00  8000.  0.0  2.0  0.7264 -0.6692  1.2252 -0.6071 r, L PHOENIX
 3.50  8200.  0.0  2.0  0.6249 -0.2423  0.5085 -0.2445 r, L PHOENIX
 4.00  8200.  0.0  2.0  0.8601 -0.8595  1.2952 -0.5925 r, L PHOENIX
 4.50  8200.  0.0  2.0  0.7267 -0.6004  1.0931 -0.5466 r, L PHOENIX
 5.00  8200.  0.0  2.0  0.6987 -0.5726  1.1003 -0.5614 r, L PHOENIX
 3.50  8400.  0.0  2.0  0.5667  0.0150  0.1515 -0.0961 r, L PHOENIX
 4.00  8400.  0.0  2.0  0.7605 -0.5086  0.8696 -0.4279 r, L PHOENIX
 4.50  8400.  0.0  2.0  0.7189 -0.5367  0.9700 -0.4872 r, L PHOENIX
 5.00  8400.  0.0  2.0  0.6809 -0.4893  0.9716 -0.5072 r, L PHOENIX
 3.50  8600.  0.0  2.0  0.5904 -0.0500  0.2105 -0.1193 r, L PHOENIX
 4.00  8600.  0.0  2.0  0.7702 -0.4625  0.6875 -0.3152 r, L PHOENIX
 4.50  8600.  0.0  2.0  0.7405 -0.5845  0.9817 -0.4768 r, L PHOENIX
 5.00  8600.  0.0  2.0  0.6684 -0.4175  0.8501 -0.4536 r, L PHOENIX
 3.50  8800.  0.0  2.0  0.6120 -0.0997  0.2373 -0.1240 r, L PHOENIX
 4.00  8800.  0.0  2.0  0.7829 -0.4365  0.5406 -0.2201 r, L PHOENIX
 4.50  8800.  0.0  2.0  0.6857 -0.3490  0.6425 -0.3264 r, L PHOENIX
 5.00  8800.  0.0  2.0  0.6716 -0.3955  0.7755 -0.4115 r, L PHOENIX
 3.50  9000.  0.0  2.0  0.5980  0.0394  0.0203 -0.0296 r, L PHOENIX
 4.00  9000.  0.0  2.0  0.8065 -0.5195  0.6309 -0.2618 r, L PHOENIX
 4.50  9000.  0.0  2.0  0.7188 -0.3579  0.4821 -0.2090 r, L PHOENIX
 5.00  9000.  0.0  2.0  0.7288 -0.5409  0.8528 -0.4051 r, L PHOENIX
 3.50  9200.  0.0  2.0  0.6404 -0.1008  0.1679 -0.0844 r, L PHOENIX
 4.00  9200.  0.0  2.0  0.7913 -0.4059  0.4526 -0.1837 r, L PHOENIX
 4.50  9200.  0.0  2.0  0.7152 -0.3524  0.4668 -0.2041 r, L PHOENIX
 5.00  9200.  0.0  2.0  0.7154 -0.4496  0.6749 -0.3157 r, L PHOENIX
 3.50  9400.  0.0  2.0  0.7584 -0.3798  0.4321 -0.1767 r, L PHOENIX
