 3.50  2000.  0.0  2.0 -0.1522  0.3493 -0.3202  1.0912 u, L PHOENIX
 4.00  2000.  0.0  2.0 -0.1335  0.3753 -0.1045  0.8396 u, L PHOENIX
 4.50  2000.  0.0  2.0 -0.1053  0.3419  0.1652  0.5819 u, L PHOENIX
 5.00  2000.  0.0  2.0 -0.0476  0.2201  0.5064  0.3124 u, L PHOENIX
 3.50  2200.  0.0  2.0 -0.1714  0.2756  0.5059  0.3528 u, L PHOENIX
 4.00  2200.  0.0  2.0 -0.0985  0.2082  0.6588  0.2091 u, L PHOENIX
 4.50  2200.  0.0  2.0 -0.0923  0.3872  0.3929  0.2968 u, L PHOENIX
 5.00  2200.  0.0  2.0 -0.0636  0.4194  0.4720  0.1621 u, L PHOENIX
 3.50  2400.  0.0  2.0 -0.2886  0.9387  0.1953  0.1083 u, L PHOENIX
 4.00  2400.  0.0  2.0 -0.1997  0.8192  0.2967  0.0529 u, L PHOENIX
 4.50  2400.  0.0  2.0 -0.0807  0.5803  0.4531  0.0318 u, L PHOENIX
 5.00  2400.  0.0  2.0 -0.0377  0.6728  0.2618  0.0942 u, L PHOENIX
 3.50  2600.  0.0  2.0 -0.2174  1.7001 -0.7771  0.2557 u, L PHOENIX
 4.00  2600.  0.0  2.0 -0.1560  1.3716 -0.4015  0.1581 u, L PHOENIX
 4.50  2600.  0.0  2.0 -0.0343  1.0703 -0.1288  0.0774 u, L PHOENIX
 5.00  2600.  0.0  2.0  0.1008  0.7467  0.1261  0.0226 u, L PHOENIX
 3.50  2800.  0.0  2.0  0.1978  1.3821 -0.8775  0.2833 u, L PHOENIX
 4.00  2800.  0.0  2.0  0.1201  1.3502 -0.6964  0.2102 u, L PHOENIX
 4.50  2800.  0.0  2.0  0.2007  1.0747 -0.3995  0.1147 u, L PHOENIX
 5.00  2800.  0.0  2.0  0.3158  0.6671  0.0295 -0.0179 u, L PHOENIX
 3.50  3000.  0.0  2.0  0.4869  0.9035 -0.6062  0.2097 u, L PHOENIX
 4.00  3000.  0.0  2.0  0.6034  0.7388 -0.5134  0.1688 u, L PHOENIX
 4.50  3000.  0.0  2.0  0.5703  0.7517 -0.4689  0.1399 u, L PHOENIX
 5.00  3000.  0.0  2.0  0.5420  0.5237 -0.0746 -0.0057 u, L PHOENIX
 3.50  3200.  0.0  2.0  0.5700  0.6878 -0.4490  0.1834 u, L PHOENIX
 4.00  3200.  0.0  2.0  0.7548  0.4082 -0.2660  0.0946 u, L PHOENIX
 4.50  3200.  0.0  2.0  0.7936  0.3441 -0.2226  0.0684 u, L PHOENIX
 5.00  3200.  0.0  2.0  0.7672  0.2958 -0.1047  0.0120 u, L PHOENIX
 3.50  3400.  0.0  2.0  0.5353  0.7127 -0.5645  0.2995 u, L PHOENIX
 4.00  3400.  0.0  2.0  0.7348  0.3656 -0.2241  0.0989 u, L PHOENIX
 4.50  3400.  0.0  2.0  0.8594  0.1297 -0.0310  0.0057 u, L PHOENIX
 5.00  3400.  0.0  2.0  0.8859  0.0332  0.0708 -0.0426 u, L PHOENIX
 3.50  3600.  0.0  2.0  0.4220  0.8084 -0.7398  0.4672 u, L PHOENIX
 4.00  3600.  0.0  2.0  0.6778  0.2465 -0.0676  0.0850 u, L PHOENIX
 4.50  3600.  0.0  2.0  0.7974  0.0127  0.1877 -0.0770 u, L PHOENIX
 5.00  3600.  0.0  2.0  0.8408 -0.0011  0.1295 -0.0661 u, L PHOENIX
 3.50  3800.  0.0  2.0  0.4720  0.4987 -0.5746  0.5469 u, L PHOENIX
 4.00  3800.  0.0  2.0  0.8330 -0.3077  0.3515  0.0471 u, L PHOENIX
 4.50  3800.  0.0  2.0  0.9942 -0.7299  0.9445 -0.3064 u, L PHOENIX
 5.00  3800.  0.0  2.0  0.9982 -0.6707  0.8893 -0.3409 u, L PHOENIX
 3.50  4000.  0.0  2.0  1.2929 -1.4300  1.2090 -0.1534 u, L PHOENIX
 4.00  4000.  0.0  2.0  1.1261 -0.9718  0.8650 -0.0939 u, L PHOENIX
 4.50  4000.  0.0  2.0  1.2638 -1.3720  1.3479 -0.3369 u, L PHOENIX
