 3.50  2000.  0.0  2.0  0.1579  0.4483  0.4441 -0.0483 z, L PHOENIX
 4.00  2000.  0.0  2.0  0.2059  0.3756  0.4954 -0.0729 z, L PHOENIX
 4.50  2000.  0.0  2.0  0.2253  0.3529  0.4854 -0.0586 z, L PHOENIX
 5.00  2000.  0.0  2.0  0.2316  0.4002  0.3775 -0.0040 z, L PHOENIX
 3.50  2200.  0.0  2.0  0.1491  0.5252  0.4641 -0.1370 z, L PHOENIX
 4.00  2200.  0.0  2.0  0.1915  0.4932  0.4723 -0.1551 z, L PHOENIX
 4.50  2200.  0.0  2.0  0.2166  0.3842  0.5879 -0.1859 z, L PHOENIX
 5.00  2200.  0.0  2.0  0.2477  0.3318  0.5904 -0.1653 z, L PHOENIX
 3.50  2400.  0.0  2.0  0.1668  0.8099  0.1706 -0.1477 z, L PHOENIX
 4.00  2400.  0.0  2.0  0.1965  0.8295  0.1044 -0.1324 z, L PHOENIX
 4.50  2400.  0.0  2.0  0.1929  0.7652  0.2111 -0.1726 z, L PHOENIX
 5.00  2400.  0.0  2.0  0.2329  0.5870  0.4167 -0.2383 z, L PHOENIX
 3.50  2600.  0.0  2.0  0.3842  1.1369 -0.6630  0.1409 z, L PHOENIX
 4.00  2600.  0.0  2.0  0.3048  1.2221 -0.6481  0.1149 z, L PHOENIX
 4.50  2600.  0.0  2.0  0.2880  1.2436 -0.6506  0.1093 z, L PHOENIX
 5.00  2600.  0.0  2.0  0.2362  1.2246 -0.5170  0.0429 z, L PHOENIX
 3.50  2800.  0.0  2.0  0.9552  0.1586 -0.1601  0.0438 z, L PHOENIX
 4.00  2800.  0.0  2.0  0.6914  0.7921 -0.6981  0.2013 z, L PHOENIX
 4.50  2800.  0.0  2.0  0.6546  0.9878 -0.9520  0.2966 z, L PHOENIX
 5.00  2800.  0.0  2.0  0.5052  1.3207 -1.2183  0.3728 z, L PHOENIX
 3.50  3000.  0.0  2.0  1.2516 -0.6852  0.6227 -0.2120 z, L PHOENIX
 4.00  3000.  0.0  2.0  1.3460 -0.6864  0.4559 -0.1439 z, L PHOENIX
 4.50  3000.  0.0  2.0  1.3198 -0.4792  0.1596 -0.0276 z, L PHOENIX
 5.00  3000.  0.0  2.0  1.0769  0.2031 -0.5131  0.2044 z, L PHOENIX
 3.50  3200.  0.0  2.0  1.1990 -0.8568  0.9190 -0.3024 z, L PHOENIX
 4.00  3200.  0.0  2.0  1.3905 -0.9656  0.7785 -0.2625 z, L PHOENIX
 4.50  3200.  0.0  2.0  1.5164 -1.1023  0.7561 -0.2346 z, L PHOENIX
 5.00  3200.  0.0  2.0  1.5449 -1.0599  0.6243 -0.1728 z, L PHOENIX
 3.50  3400.  0.0  2.0  0.9668 -0.6763  0.8970 -0.2477 z, L PHOENIX
 4.00  3400.  0.0  2.0  1.1520 -0.6567  0.6490 -0.2368 z, L PHOENIX
 4.50  3400.  0.0  2.0  1.3940 -0.9478  0.6523 -0.2062 z, L PHOENIX
 5.00  3400.  0.0  2.0  1.5749 -1.2804  0.8452 -0.2497 z, L PHOENIX
 3.50  3600.  0.0  2.0  0.6392 -0.3239  0.9350 -0.3407 z, L PHOENIX
 4.00  3600.  0.0  2.0  0.8269 -0.2466  0.4522 -0.1616 z, L PHOENIX
 4.50  3600.  0.0  2.0  1.0697 -0.3573  0.1827 -0.0554 z, L PHOENIX
 5.00  3600.  0.0  2.0  1.3545 -0.8772  0.4800 -0.1240 z, L PHOENIX
 3.50  3800.  0.0  2.0  0.3866  0.0477  0.8791 -0.4227 z, L PHOENIX
 4.00  3800.  0.0  2.0  0.6065 -0.0156  0.4055 -0.1522 z, L PHOENIX
 4.50  3800.  0.0  2.0  0.8363 -0.1305  0.1610 -0.0595 z, L PHOENIX
 5.00  3800.  0.0  2.0  1.1074 -0.4700  0.1757 -0.0292 z, L PHOENIX
 3.50  4000.  0.0  2.0  0.6051 -0.2790  0.7473 -0.3225 z, L PHOENIX
 4.00  4000.  0.0  2.0  0.6695 -0.1820  0.5179 -0.1994 z, L PHOENIX
 4.50  4000.  0.0  2.0  0.7247 -0.3017  0.5778 -0.2169 z, L PHOENIX
 5.00  4000.  0.0  2.0  0.8942 -0.2909  0.2132 -0.0680 z, L PHOENIX
 3.50  4200.  0.0  2.0  0.6382 -0.4839  0.9483 -0.3900 z, L PHOENIX
 4.00  4200.  0.0  2.0  0.7723 -0.5323  0.9292 -0.3678 z, L PHOENIX
 4.50  4200.  0.0  2.0  0.5513  0.0740  0.3212 -0.1444 z, L PHOENIX
